Date : 2020-06-19 10:05:40
Directory : /Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server
Total : 61 files,  48502 codes, 904 comments, 240 blanks, all 49646 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         26 |     46,339 |          0 |         13 |     46,352 |
| C#         |         28 |      1,088 |        900 |        206 |      2,194 |
| JavaScript |          2 |      1,036 |          4 |         16 |      1,056 |
| XML        |          5 |         39 |          0 |          5 |         44 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |         61 |     48,502 |        904 |        240 |     49,646 |
| Controllers                                                                                                                              |          6 |        333 |         41 |         58 |        432 |
| Crawler                                                                                                                                  |          6 |      1,008 |        811 |         91 |      1,910 |
| Models                                                                                                                                   |          6 |         95 |          0 |         21 |        116 |
| ORM                                                                                                                                      |          1 |         13 |          0 |          4 |         17 |
| Properties                                                                                                                               |          1 |         30 |          0 |          1 |         31 |
| ToolClass                                                                                                                                |          3 |         41 |          1 |          4 |         46 |
| bin                                                                                                                                      |         21 |     20,882 |          2 |         18 |     20,902 |
| bin/Debug                                                                                                                                |         10 |     10,182 |          0 |          5 |     10,187 |
| bin/Debug/netcoreapp3.1                                                                                                                  |         10 |     10,182 |          0 |          5 |     10,187 |
| bin/Debug/netcoreapp3.1/Properties                                                                                                       |          1 |         30 |          0 |          1 |         31 |
| bin/Debug/netcoreapp3.1/publish                                                                                                          |          4 |      5,072 |          0 |          2 |      5,074 |
| bin/Release                                                                                                                              |         11 |     10,700 |          2 |         13 |     10,715 |
| bin/Release/netcoreapp3.1                                                                                                                |         11 |     10,700 |          2 |         13 |     10,715 |
| bin/Release/netcoreapp3.1/Properties                                                                                                     |          1 |         30 |          0 |          1 |         31 |
| bin/Release/netcoreapp3.1/publish                                                                                                        |          5 |      5,590 |          2 |         10 |      5,602 |
| bin/Release/netcoreapp3.1/publish/Crawler                                                                                                |          1 |        518 |          2 |          8 |        528 |
| obj                                                                                                                                      |         12 |     25,975 |         38 |         21 |     26,034 |
| obj/Debug                                                                                                                                |          5 |     20,631 |         20 |         11 |     20,662 |
| obj/Debug/netcoreapp3.1                                                                                                                  |          5 |     20,631 |         20 |         11 |     20,662 |
| obj/Debug/netcoreapp3.1/staticwebassets                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| obj/Release                                                                                                                              |          3 |         14 |         18 |         10 |         42 |
| obj/Release/netcoreapp3.1                                                                                                                |          3 |         14 |         18 |         10 |         42 |
| obj/Release/netcoreapp3.1/staticwebassets                                                                                                |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/AuthenticateController.cs                                             | C#         |         82 |         15 |         19 |        116 |
| /Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/CourseScoreController.cs                                              | C#         |         50 |          5 |          7 |         62 |
| /Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/CourseTableController.cs                                              | C#         |         51 |          5 |         10 |         66 |
